序号,X1,Y1,Z1,X2,Y2,Z2,实际长度_nm,方向X,方向Y,方向Z,到左电极距离_nm,到右电极距离_nm,有效分段数,是否导通
1,-5000.0,-123.595139885209,-413.21077078022,-2588.09423943591,263.800242732266,-256.916004757901,2447.81,0.9853,0.1583,0.0639,-30.0,7558.09,1,否
2,-5000.0,260.638630130799,-45.5355334223004,-2697.57508248102,420.228820486022,141.734026660795,2315.53,0.9943,0.0689,0.0809,-30.0,7667.58,1,否
3,-5000.0,273.505296679324,-144.677940130256,-3939.15969626586,318.937665072886,-118.26517904821,1062.14,0.9988,0.0428,0.0249,-30.0,8909.16,1,否
4,-4192.3186063671,261.813019412782,-199.977019550071,806.624526775099,321.530792400596,-283.651025070759,5000.0,0.9998,0.0119,-0.0167,777.68,4163.38,1,否
5,-2777.97743793496,-159.004834417892,-249.729794262883,2215.33209763938,97.7058633389306,-280.705584803122,5000.0,0.9987,0.0513,-0.0062,2192.02,2754.67,1,否
6,-2262.03951829238,-250.253829283375,441.667836947413,-843.854487636523,-277.554922291578,500.0,1419.65,0.999,-0.0192,0.0411,2707.96,5813.85,1,否
7,-843.854487636523,-277.554922291578,-500.0,2732.81245393412,-346.408361525829,-352.886108151902,3580.35,0.999,-0.0192,0.0411,4126.15,2237.19,1,否
8,577.038075568308,-500.0,-306.636481677966,5000.0,-472.318119184751,-258.403555236408,4423.31,0.9999,0.0063,0.0109,-30.0,68.29,2,否
9,1066.9641376733,105.066056981001,-242.602515764394,5000.0,273.505296679324,-144.677940130256,3937.86,0.9988,0.0428,0.0249,-30.0,68.33,2,否
10,2330.73253512306,75.6211298477722,-262.64252357348,5000.0,260.638630130799,-45.5355334223004,2684.47,0.9943,0.0689,0.0809,-30.0,68.86,2,否
11,2656.52072494725,-500.0,434.928592307143,3660.68808804375,-338.712686789317,500.0,1019.12,0.9853,0.1583,0.0639,7626.52,1309.31,1,否
12,3660.68808804375,-338.712686789317,-500.0,5000.0,-123.595139885209,-413.21077078022,1359.25,0.9853,0.1583,0.0639,-30.0,65.67,2,否
