物料编码,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05
6004010068,0,0,0,0,0,0,100,100,5,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
6004010116,0,0,0,0,12,0,14,0,21,4,5,0,0,0,2,19,27,0,0,0,10,1,10,0,0,0,0,0,21,0,1,0,0,2,1,0,0,0,0,0,3
6004010121,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6004010134,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6004010174,56,40,18,27,35,11,46,16,34,31,51,68,22,21,62,109,77,119,189,129,242,276,206,145,67,90,124,80,67,61,38,6,21,3,14,0,0,0,0,0,0
6004010203,0,0,0,1,0,0,8,5,0,2,7,7,2,0,5,7,4,3,12,0,0,6,5,3,11,3,0,15,8,0,8,3,1,1,0,11,1,0,3,0,0
6004010205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,7,3,0,11,12,0,0,20,8,24,3,1,0,0,0,0,1,0
6004010207,2,35,110,351,102,43,224,124,83,46,88,114,21,0,66,0,24,27,70,7,43,11,78,0,25,16,1,4,48,17,52,92,36,2,12,0,17,0,4,66,3
6004010215,5,0,9,0,1,0,3,13,18,0,2,0,0,0,12,12,30,2,8,6,4,12,4,0,4,0,4,15,16,0,12,0,0,0,1,0,0,0,13,0,2
6004010217,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,2,37,20,0,1,12,4,42,25,1,4,4,3,0,2,13,0,5,3,0,0,3,3,0,0
