Type,BeginTime,EndTime,BeginIndex,EndIndex
double,2.9,,4,
flick,4.1,,2,
tap,5.25,,1,
double,6.7,,3,
tap,7.85,,4,
flick,9.2,,2,
tap,10.5,,1,
double,11.3,,4,
flick,12.75,,3,
double,14,,2,
tap,15.15,,4,
flick,16.4,,1,
tap,17.6,,3,
double,18.95,,2,
flick,20.1,,4,
tap,21.35,,1,
double,22.8,,3,
flick,24.05,,2,
tap,25.2,,4,
flick,26.45,,1,
double,27.9,,3,
tap,29.1,,2,
flick,30.25,,4,
double,31.7,,1,
tap,32.85,,3,
flick,34,,2,
tap,35.3,,4,
double,36.65,,1,
flick,37.9,,3,
tap,39.15,,2,
double,40.4,,4,
flick,41.75,,1,
tap,43,,3,
double,44.25,,2,
flick,45.5,,4,
tap,46.8,,1,
flick,48.05,,3,
double,49.3,,2,
tap,50.55,,4,
flick,51.9,,1,
tap,53.15,,3,
double,54.4,,2,
flick,55.65,,4,
tap,56.9,,1,
double,58.25,,3,
