Type,BeginTime,EndTime,BeginIndex,EndIndex
tap,0.9,,2,
hold,1.8,4.2,5,
drag,3.5,,1,3
tap,4.6,,4,
hold,5.3,7.7,3,
tap,6.8,,1,
drag,7.9,,5,2
hold,8.4,10.8,4,
tap,10.1,,5,
drag,11.2,,2,4
hold,12.5,14.9,1,
tap,13.6,,3,
drag,15,,4,5
tap,16.3,,2,
hold,17.2,19.6,5,
drag,18.7,,3,1
tap,20.9,,4,
hold,21.8,24.2,2,
drag,22.5,,5,3
tap,24.8,,1,
hold,25.7,28.1,4,
drag,26.9,,2,5
tap,28.2,,3,
hold,29.1,31.5,1,
drag,30.4,,4,2
tap,31.7,,5,
hold,32.6,35,3,
drag,33.8,,1,4
tap,35.9,,2,
hold,36.8,39.2,5,
drag,37.5,,3,1
tap,39.6,,4,
hold,40.5,42.9,2,
drag,41.7,,5,4
tap,43.8,,1,
hold,44.7,47.1,3,
drag,45.9,,2,5
tap,47.2,,4,
hold,48.1,50.5,1,
drag,49.3,,3,2
tap,51.6,,5,
hold,52.5,54.9,4,
drag,53.8,,1,3
tap,55.7,,2,
hold,56.6,59,5,
drag,57.9,,4,1
